appid,SUM(Games_1.playtime_forever)
24220,11773072.0
24240,490306093.0
24400,138473557.0
24410,2265279.0
24420,13375813.0
24460,1184430.0
24470,29313018.0
24480,25155942.0
24500,1639359.0
24600,3126393.0
24610,246314.0
24620,266320.0
24630,3970585.0
24640,156805.0
24650,129135.0
24660,298231.0
24670,11648004.0
24700,2635052.0
24720,55898509.0
24740,98347180.0
24760,6279269.0
24780,363750931.0
24790,109509512.0
24800,60160569.0
24810,55613606.0
24820,916410.0
24830,687368.0
24840,23932525.0
24850,30829574.0
24860,234510558.0
24870,36849963.0
24920,1751.0
24950,699.0
24960,3988269753.0
24980,1166524594.0
24999,0.0
25010,2312877.0
25500,10531099.0
25600,7651031.0
25620,6654322.0
25700,16744826.0
25730,46747.0
25800,500671488.0
25830,17308797.0
25840,2291091.0
25850,7171993.0
25860,39709331.0
25870,85706.0
25890,314996124.0
25900,116867725.0
25910,17284471.0
25920,1.0
25930,10740722.0
25940,532732.0
25980,49067474.0
25990,8423067.0
26000,3069411.0
26300,462810.0
26500,21845478.0
26700,18.0
26710,65972.0
26800,97114815.0
26900,16263279.0
27000,5752886.0
27020,3489721.0
27040,8311.0
27050,175129.0
27200,340136.0
27220,10809506.0
27240,12.0
27300,1086703.0
27330,7464952.0
27400,2082966.0
27600,401663.0
27800,245706.0
27810,428420.0
27900,1650215.0
27920,1267802.0
27940,3730856.0
28000,46214803.0
28050,1719972998.0
29100,7.0
29110,26.0
29120,187451.0
29130,353716.0
29140,1350.0
29150,258.0
29160,1494559.0
29180,29873172.0
29500,13032137.0
29520,132321.0
29530,294689.0
29550,4641269.0
29590,292415.0
29640,31543642.0
29650,49144016.0
29660,13477515.0
29670,14769511.0
29680,8778873.0
29690,1265603.0
29720,138334847.0
29800,1052290.0
29900,2578882.0
31100,2416013.0
31110,983424.0
31120,699679.0
31130,690316.0
31170,16564703.0
31180,10741111.0
31190,9462045.0
31200,10213596.0
31210,8007041.0
31220,8113072.0
31230,4877044.0
31240,4160038.0
31250,3528574.0
31260,3018006.0
31270,12455691.0
31280,106645033.0
31290,14294149.0
31300,152434.0
31410,20838616.0
31500,2043.0
31700,8861110.0
31800,380230.0
31810,293827.0
31820,507288.0
31830,960403.0
31840,434344.0
31850,529275.0
31860,501634.0
31870,181596.0
31880,268653.0
31890,337711.0
31900,282842.0
31910,1098495.0
31920,599731.0
31930,531163.0
31980,743309.0
32000,134867.0
32110,9129157.0
32120,5290511.0
32130,624353.0
32140,1636672.0
32150,23589789.0
32160,4341625.0
32200,4498950.0
32310,2908298.0
32330,5893917.0
32340,3835883.0
32350,3316114.0
32360,71032903.0
32370,472124364.0
32380,11331287.0
32390,4136776.0
32400,11691463.0
32410,1114744.0
32420,3078468.0
32430,62723828.0
32440,37374085.0
32450,6444610.0
32460,37205394.0
32470,143890688.0
32500,28922619.0
32510,26352683.0
32610,3747907.0
32620,594753.0
32630,912344.0
32640,1238741.0
32650,542827.0
32660,663755.0
32670,1879492.0
32680,4910510.0
32690,1204995.0
32700,1286809.0
32710,277949.0
32720,401268.0
32730,657018.0
32740,151227.0
32750,1451831.0
32760,1660538.0
32770,1381341.0
32800,160386394.0
32900,5355550.0
33100,1694366.0
33110,1405815.0
33120,10026072.0
33130,4121180.0
33180,7081809.0
33210,26853450.0
33220,163068197.0
33230,510958179.0
33250,32900719.0
33260,1038532.0
33270,199675.0
33280,9879614.0
33320,19101348.0
33340,41315608.0
33350,20905620.0
33390,341754.0
33420,39713000.0
33440,56660882.0
33460,81598078.0
33500,1402113.0
33510,1560073.0
33520,11546266.0
33530,9156489.0
33540,448294.0
33550,218715.0
33570,12584855.0
33580,1232459.0
33600,3064501.0
33610,4197465.0
33620,2603201.0
33650,5014890.0
33660,293304.0
33670,41976702.0
33680,1537004.0
33700,50110.0
33710,65575.0
33720,1254.0
33730,3113723.0
33740,952781.0
33750,1451810.0
33760,85436.0
33770,6985230.0
33780,1225508.0
33790,231238.0
33900,182140722.0
33910,192024193.0
33930,1836042918.0
33950,312412.0
33980,818778.0
33990,1130641.0
34000,6434791310.0
34010,64676385.0
34030,3354659068.0
34180,300388.0
34190,6228729.0
34220,8226682735.0
34250,8879489.0
34270,36520625.0
34330,5412484683.0
34410,1183821.0
34420,522396.0
34440,51287916.0
34450,9149056.0
34460,70599275.0
34500,3442752.0
34600,82981539.0
34630,224298.0
34640,1278329.0
34650,768942.0
34670,5133386.0
34800,479897.0
34810,692360.0
34820,4568349.0
34830,401164432.0
34860,2184955.0
34870,56736492.0
34900,1602648.0
34920,392516.0
35000,9860386.0
35010,81836914.0
35030,41671406.0
35070,1136669.0
35130,53376570.0
35140,310106788.0
35300,863821.0
35310,853244.0
35320,1927124.0
35420,13077479.0
35450,610777614.0
35460,13398662.0
35470,42926.0
35480,15841256.0
35500,23806554.0
35510,12939944.0
35600,1210557.0
35700,115571667.0
35720,154069763.0
35800,268776.0
36000,4345275.0
36100,319232.0
36110,436234.0
36120,567581.0
36130,121700.0
36140,183534.0
36150,412478.0
36160,288477.0
36170,548402.0
36180,738737.0
36190,532986.0
36200,1226813.0
36210,758732.0
36240,334658.0
36270,633839.0
36280,542398.0
36290,480262.0
36300,1006842.0
36310,1377070.0
36320,51922.0
36350,1.0
36360,
36370,
36620,7451317.0
36630,2538960.0
36700,2993573.0
36900,9436.0
36910,58428.0
37000,7110514.0
37010,1000203.0
37030,30069255.0
37100,856547.0
37200,3424049.0
37210,979242.0
37220,1943956.0
37230,565089.0
