appid,Title,Type,Price,Rating,Required_Age,Is_Multiplayer,Genre
367240,Avenging Angel,game,9.99,-1,0,0,Adventure
367240,Avenging Angel,game,9.99,-1,0,0,Early Access
367240,Avenging Angel,game,9.99,-1,0,0,RPG
232090,Killing Floor 2,game,29.99,-1,17,1,Action
232090,Killing Floor 2,game,29.99,-1,17,1,Early Access
427820,Hitman GO: Definitive Edition,game,7.99,73,10,0,Strategy
6129,Shank,game,9.99,67,17,0,Action
6129,Shank,game,9.99,67,17,0,Indie
366670,The Travels of Marco Polo,game,9.99,-1,0,0,Adventure
366670,The Travels of Marco Polo,game,9.99,-1,0,0,Casual
366670,The Travels of Marco Polo,game,9.99,-1,0,0,Indie
443420,Artificial Defense,game,0,-1,0,0,Action
443420,Artificial Defense,game,0,-1,0,0,Indie
443420,Artificial Defense,game,0,-1,0,0,Strategy
301760,Disney•Pixar Cars 2: The Video Game,game,19.99,-1,0,0,Action
301760,Disney•Pixar Cars 2: The Video Game,game,19.99,-1,0,0,Adventure
301760,Disney•Pixar Cars 2: The Video Game,game,19.99,-1,0,0,Racing
424170,The fall of gods,game,1.99,-1,0,0,Action
424170,The fall of gods,game,1.99,-1,0,0,Adventure
424170,The fall of gods,game,1.99,-1,0,0,Indie
424170,The fall of gods,game,1.99,-1,0,0,RPG
424170,The fall of gods,game,1.99,-1,0,0,Strategy
416130,Written in the Sky,game,0,-1,17,0,Action
416130,Written in the Sky,game,0,-1,17,0,Adventure
416130,Written in the Sky,game,0,-1,17,0,Indie
416130,Written in the Sky,game,0,-1,17,0,Simulation
36130,Tradewinds Caravans + Odyssey Pack,game,14.99,-1,0,0,Casual
371880,Collider,game,5.99,-1,0,0,Action
371880,Collider,game,5.99,-1,0,0,Casual
371880,Collider,game,5.99,-1,0,0,Indie
348540,Divine Slice of Life,game,12.99,-1,18,0,Adventure
348540,Divine Slice of Life,game,12.99,-1,18,0,Casual
348540,Divine Slice of Life,game,12.99,-1,18,0,Indie
293900,Pivvot,game,4.99,-1,0,0,Action
293900,Pivvot,game,4.99,-1,0,0,Casual
293900,Pivvot,game,4.99,-1,0,0,Indie
433490,Super Flippin  Phones,game,2.99,-1,0,0,Action
433490,Super Flippin  Phones,game,2.99,-1,0,0,Casual
433490,Super Flippin  Phones,game,2.99,-1,0,0,Indie
203810,Dear Esther,game,9.99,75,0,0,Adventure
203810,Dear Esther,game,9.99,75,0,0,Casual
203810,Dear Esther,game,9.99,75,0,0,Indie
38020,Mahjong Quest Collection,game,9.99,-1,0,0,Casual
280890,Ghostship Aftermath,game,9.99,-1,0,0,Action
280890,Ghostship Aftermath,game,9.99,-1,0,0,Adventure
280890,Ghostship Aftermath,game,9.99,-1,0,0,Indie
431840,3DRPG,game,9.99,-1,0,0,Adventure
431840,3DRPG,game,9.99,-1,0,0,Indie
431840,3DRPG,game,9.99,-1,0,0,RPG
381130,Karma,game,4.99,-1,0,0,Indie
381130,Karma,game,4.99,-1,0,0,Simulation
381130,Karma,game,4.99,-1,0,0,Strategy
280500,KRUNCH,game,9.99,-1,0,0,Action
280500,KRUNCH,game,9.99,-1,0,0,Indie
280500,KRUNCH,game,9.99,-1,0,0,Racing
454670,Piggy Princess,game,2.99,-1,0,0,Action
454670,Piggy Princess,game,2.99,-1,0,0,Casual
454670,Piggy Princess,game,2.99,-1,0,0,Indie
388970,iZBOT,game,9.99,-1,0,0,Action
388970,iZBOT,game,9.99,-1,0,0,Indie
42210,Nancy Drew®:  Secrets Can Kill REMASTERED,game,6.99,-1,0,0,Adventure
2590,Alpha Prime,game,4.99,59,17,0,Action
401120,Anode,game,4.99,-1,0,1,Action
401120,Anode,game,4.99,-1,0,1,Casual
401120,Anode,game,4.99,-1,0,1,Indie
298240,Red Crucible®: Firestorm,game,0,-1,0,1,Action
298240,Red Crucible®: Firestorm,game,0,-1,0,1,Casual
298240,Red Crucible®: Firestorm,game,0,-1,0,1,Free to Play
298240,Red Crucible®: Firestorm,game,0,-1,0,1,Indie
298240,Red Crucible®: Firestorm,game,0,-1,0,1,Simulation
204080,The Showdown Effect,game,9.99,67,0,1,Action
395890,Lapland Solitaire,game,4.99,-1,0,0,Casual
408880,Heal Them All,game,7.99,-1,0,0,Casual
408880,Heal Them All,game,7.99,-1,0,0,Strategy
306930,BattleSpace,game,0,-1,0,1,Free to Play
306930,BattleSpace,game,0,-1,0,1,Massively Multiplayer
306930,BattleSpace,game,0,-1,0,1,Strategy
237590,R.I.P.D.: The Game,game,9.99,-1,13,0,Action
63110,Alter Ego,game,9.99,59,0,0,Adventure
259130,Wasteland 1 - The Original Classic,game,5.99,-1,0,0,Adventure
259130,Wasteland 1 - The Original Classic,game,5.99,-1,0,0,Indie
259130,Wasteland 1 - The Original Classic,game,5.99,-1,0,0,RPG
259130,Wasteland 1 - The Original Classic,game,5.99,-1,0,0,Strategy
427250,8-Bit Armies,game,14.99,-1,0,1,Indie
427250,8-Bit Armies,game,14.99,-1,0,1,Simulation
427250,8-Bit Armies,game,14.99,-1,0,1,Strategy
462910,Poly Runner VR,game,0,-1,0,0,Casual
462910,Poly Runner VR,game,0,-1,0,0,Indie
204880,Sins of a Solar Empire®: Rebellion,game,39.99,82,0,1,Strategy
426250,Periodonica,game,29.99,-1,0,1,Casual
426250,Periodonica,game,29.99,-1,0,1,Early Access
426250,Periodonica,game,29.99,-1,0,1,Indie
426250,Periodonica,game,29.99,-1,0,1,Sports
364940,Pony World 3,game,4.99,-1,0,0,Casual
364940,Pony World 3,game,4.99,-1,0,0,Indie
358370,Terminal Velocity,game,6.99,-1,0,0,Action
348670,Immune - True Survival,game,0.99,-1,0,1,Action
348670,Immune - True Survival,game,0.99,-1,0,1,Adventure
348670,Immune - True Survival,game,0.99,-1,0,1,Early Access
348670,Immune - True Survival,game,0.99,-1,0,1,Indie
348670,Immune - True Survival,game,0.99,-1,0,1,Massively Multiplayer
348670,Immune - True Survival,game,0.99,-1,0,1,RPG
404810,Escape from Puzzlegate,game,1.99,-1,0,0,Casual
404810,Escape from Puzzlegate,game,1.99,-1,0,0,Indie
386750,Cashtronauts,game,7.99,-1,0,0,Action
386750,Cashtronauts,game,7.99,-1,0,0,Early Access
386750,Cashtronauts,game,7.99,-1,0,0,Indie
284580,ZAMB! Biomutant Extermination,game,9.99,-1,0,1,Action
284580,ZAMB! Biomutant Extermination,game,9.99,-1,0,1,Indie
284580,ZAMB! Biomutant Extermination,game,9.99,-1,0,1,Strategy
42700,Call of Duty®: Black Ops,game,39.99,81,17,1,Action
286690,Metro 2033 Redux,game,19.99,-1,0,0,Action
386480,Blood Code,game,9.99,-1,0,0,Adventure
386480,Blood Code,game,9.99,-1,0,0,Casual
386480,Blood Code,game,9.99,-1,0,0,Indie
386480,Blood Code,game,9.99,-1,0,0,Simulation
386480,Blood Code,game,9.99,-1,0,0,Strategy
463920,Initia: Elemental Arena,game,19.99,-1,0,1,Action
463920,Initia: Elemental Arena,game,19.99,-1,0,1,Early Access
463920,Initia: Elemental Arena,game,19.99,-1,0,1,Indie
217080,Doctor Who: The Eternity Clock,game,9.99,-1,0,0,Action
217080,Doctor Who: The Eternity Clock,game,9.99,-1,0,0,Adventure
368620,Timespinner,game,0,-1,0,0,Action
368620,Timespinner,game,0,-1,0,0,Adventure
368620,Timespinner,game,0,-1,0,0,Indie
368620,Timespinner,game,0,-1,0,0,RPG
9040,QUAKE Mission Pack 1: Scourge of Armagon,game,4.99,-1,0,1,Action
386710,StoryMode - A Game About Crafting,game,4.99,-1,0,0,Adventure
386710,StoryMode - A Game About Crafting,game,4.99,-1,0,0,Casual
386710,StoryMode - A Game About Crafting,game,4.99,-1,0,0,Early Access
386710,StoryMode - A Game About Crafting,game,4.99,-1,0,0,Indie
465000,Event Horizon,game,5.99,-1,0,0,Action
465000,Event Horizon,game,5.99,-1,0,0,Early Access
465000,Event Horizon,game,5.99,-1,0,0,Indie
465000,Event Horizon,game,5.99,-1,0,0,RPG
392020,RFLEX,game,3.99,-1,0,0,Action
392020,RFLEX,game,3.99,-1,0,0,Casual
392020,RFLEX,game,3.99,-1,0,0,Indie
299740,Miscreated,game,19.99,-1,0,1,Action
299740,Miscreated,game,19.99,-1,0,1,Early Access
299740,Miscreated,game,19.99,-1,0,1,Indie
299740,Miscreated,game,19.99,-1,0,1,Massively Multiplayer
299740,Miscreated,game,19.99,-1,0,1,Simulation
308180,Jacob Jones and the Bigfoot Mystery : Episode 2,game,3.99,-1,0,0,Adventure
416070,Mars 2030,game,7.99,-1,0,0,Action
416070,Mars 2030,game,7.99,-1,0,0,Adventure
416070,Mars 2030,game,7.99,-1,0,0,Casual
416070,Mars 2030,game,7.99,-1,0,0,Indie
416070,Mars 2030,game,7.99,-1,0,0,RPG
416070,Mars 2030,game,7.99,-1,0,0,Simulation
416070,Mars 2030,game,7.99,-1,0,0,Strategy
388660,Project Tarvotan,game,4.99,-1,0,0,Indie
388660,Project Tarvotan,game,4.99,-1,0,0,Simulation
